"","Mound_ID","Shell_ID","Cage_ID","Cage_type","Mound_Num","Site","Sample_dat","Num_spat","Length_1","Length_2","Length_3","Length_4","Length_5","Total_m","meas30","meas25","meas20","percentless30","Num_spat_30","percentless25","Num_spat_25","percentless20","Num_spat_20","Mound_Treat","Deployment","treatbi","treattri","Sample_dat_num","salc","saln","curc","curn","logNum_spat","Obs"
"27","ClamShoal208",899235,"89923","Open",208,"Clam Shoal","Fall_2010",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,0,13
"28","ClamShoal208",655751,"65575","Control",208,"Clam Shoal","Fall_2010",4,32.6,31.9,28.5,21.9,NA,4,2,1,0,0.5,2,0.25,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,14
"29","ClamShoal208",829428,"82942","Large Mesh",208,"Clam Shoal","Fall_2010",5,27.3,30.3,21.5,25.1,26.9,5,4,1,0,0.8,4,0.2,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.79175946922805,15
"30","ClamShoal208",655758,"65575","Control",208,"Clam Shoal","Fall_2010",4,32.1,35.6,67.7,11.5,NA,4,1,1,1,0.25,1,0.25,1,0.25,1,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,16
"31","ClamShoal208",829421,"82942","Large Mesh",208,"Clam Shoal","Spring_2011",2,51.5,48.1,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,17
"32","ClamShoal208",955868,"95586","Roof",208,"Clam Shoal","Fall_2011",1,20,57.9,NA,NA,NA,2,1,1,1,0.5,0.5,0.5,1,0.5,0.5,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,18
"33","ClamShoal208",829426,"82942","Large Mesh",208,"Clam Shoal","Spring_2011",1,70.5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0.693147180559945,19
"37","ClamShoal208",829426,"82942","Large Mesh",208,"Clam Shoal","Fall_2010",2,31.9,31.9,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,20
"38","ClamShoal208",655758,"65575","Control",208,"Clam Shoal","Fall_2011",2,67.1,66.3,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,21
"39","ClamShoal208",131193,"13119","Small Mesh",208,"Clam Shoal","Fall_2011",1,34.6,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,22
"42","ClamShoal208",131191,"13119","Small Mesh",208,"Clam Shoal","Spring_2011",3,56.9,33.7,60.5,NA,NA,3,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.38629436111989,23
"43","ClamShoal208",131193,"13119","Small Mesh",208,"Clam Shoal","Spring_2011",2,22.2,50.8,NA,NA,NA,2,1,1,0,0.5,1,0.5,1,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,24
"44","ClamShoal208",131194,"13119","Small Mesh",208,"Clam Shoal","Spring_2011",2,35.8,25.1,NA,NA,NA,2,1,0,0,0.5,1,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,25
"45","ClamShoal208",899235,"89923","Open",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,26
"46","ClamShoal208",899238,"89923","Open",208,"Clam Shoal","Fall_2011",1,53.3,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,27
"48","ClamShoal208",655757,"65575","Control",208,"Clam Shoal","Spring_2011",3,55.8,48.6,48.8,NA,NA,3,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.38629436111989,28
"49","ClamShoal208",899231,"89923","Open",208,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0,29
"50","ClamShoal208",899237,"89923","Open",208,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0,30
"51","ClamShoal208",131192,"13119","Small Mesh",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,31
"53","ClamShoal208",899231,"89923","Open",208,"Clam Shoal","Fall_2010",3,18.1,13.9,9.3,NA,NA,3,3,3,3,1,3,1,3,1,3,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.38629436111989,32
"54","ClamShoal208",955865,"95586","Roof",208,"Clam Shoal","Spring_2011",3,30.5,18,26.8,NA,NA,3,2,1,1,0.666666666666667,2,0.333333333333333,1,0.333333333333333,1,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.38629436111989,33
"55","ClamShoal208",899238,"89923","Open",208,"Clam Shoal","Fall_2010",2,21.9,29.7,NA,NA,NA,2,2,1,0,1,2,0.5,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,34
"56","ClamShoal208",655753,"65575","Control",208,"Clam Shoal","Fall_2010",4,28.1,22.5,18.6,29.9,NA,4,4,2,1,1,4,0.5,2,0.25,1,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,35
"57","ClamShoal208",655754,"65575","Control",208,"Clam Shoal","Fall_2010",6,21.3,29.5,26,26.8,18.4,5,5,2,1,1,6,0.4,2,0.2,1.2,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.94591014905531,36
"58","ClamShoal208",955862,"95586","Roof",208,"Clam Shoal","Fall_2011",1,43.6,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,37
"59","ClamShoal208",955865,"95586","Roof",208,"Clam Shoal","Fall_2011",2,32.6,27.1,NA,NA,NA,2,1,0,0,0.5,1,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,38
"60","ClamShoal208",829422,"82942","Large Mesh",208,"Clam Shoal","Spring_2011",4,55.5,42.6,29.8,65.6,NA,4,1,0,0,0.25,1,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.6094379124341,39
"61","ClamShoal208",955863,"95586","Roof",208,"Clam Shoal","Spring_2011",3,37.6,54.5,57,NA,NA,3,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.38629436111989,40
"62","ClamShoal208",955862,"95586","Roof",208,"Clam Shoal","Spring_2011",1,44.5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0.693147180559945,41
"63","ClamShoal208",955861,"95586","Roof",208,"Clam Shoal","Spring_2011",2,41.4,32.5,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,42
"64","ClamShoal208",955864,"95586","Roof",208,"Clam Shoal","Spring_2011",1,34.6,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0.693147180559945,43
"65","ClamShoal208",131198,"13119","Small Mesh",208,"Clam Shoal","Fall_2010",2,29.6,23.4,NA,NA,NA,2,2,1,0,1,2,0.5,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,44
"66","ClamShoal208",829421,"82942","Large Mesh",208,"Clam Shoal","Fall_2011",1,50.5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,45
"67","ClamShoal208",829424,"82942","Large Mesh",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,46
"68","ClamShoal208",829427,"82942","Large Mesh",208,"Clam Shoal","Fall_2011",1,38.2,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,47
"69","ClamShoal208",829426,"82942","Large Mesh",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,48
"70","ClamShoal208",829423,"82942","Large Mesh",208,"Clam Shoal","Fall_2011",1,44.7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,49
"78","ClamShoal208",655751,"65575","Control",208,"Clam Shoal","Fall_2011",2,30.2,52,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,50
"79","ClamShoal208",131199,"13119","Small Mesh",208,"Clam Shoal","Fall_2010",4,37.7,31.6,25.9,24.4,NA,4,2,1,0,0.5,2,0.25,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,51
"83","ClamShoal208",899239,"89923","Open",208,"Clam Shoal","Fall_2010",2,26.3,26.7,NA,NA,NA,2,2,0,0,1,2,0,0,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,52
"84","ClamShoal208",899231,"89923","Open",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,53
"85","ClamShoal208",955859,"95585","Roof",208,"Clam Shoal","Fall_2010",6,32,24.9,24.3,35.3,28.2,5,3,2,0,0.6,3.6,0.4,2,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.94591014905531,54
"86","ClamShoal208",955855,"95585","Roof",208,"Clam Shoal","Fall_2010",16,19,12,12.1,26.4,13.2,5,5,4,4,1,16,0.8,13,0.8,12.8,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,2.83321334405622,55
"87","ClamShoal208",899234,"89923","Open",208,"Clam Shoal","Fall_2011",3,53.1,45.1,45.8,NA,NA,3,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.38629436111989,56
"88","ClamShoal208",955854,"95585","Roof",208,"Clam Shoal","Fall_2010",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,0,57
"89","ClamShoal208",899239,"89923","Open",208,"Clam Shoal","Fall_2011",2,45.9,20.7,NA,NA,NA,2,1,1,0,0.5,1,0.5,1,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,58
"90","ClamShoal208",131191,"13119","Small Mesh",208,"Clam Shoal","Fall_2011",1,33.1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,59
"91","ClamShoal208",131193,"13119","Small Mesh",208,"Clam Shoal","Fall_2010",2,29.6,23.4,NA,NA,NA,2,2,1,0,1,2,0.5,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,60
"92","ClamShoal208",655755,"65575","Control",208,"Clam Shoal","Fall_2011",1,51.4,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,61
"93","ClamShoal208",955861,"95586","Roof",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,62
"94","ClamShoal208",655757,"65575","Control",208,"Clam Shoal","Fall_2011",2,56.3,54.3,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,63
"97","ClamShoal208",829424,"82942","Large Mesh",208,"Clam Shoal","Spring_2011",5,42.9,57,53.9,65,62.6,5,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.79175946922805,64
"98","ClamShoal208",955853,"95585","Roof",208,"Clam Shoal","Fall_2010",4,22.8,34.1,26.6,15.5,NA,4,3,2,1,0.75,3,0.5,2,0.25,1,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,65
"99","ClamShoal208",131195,"13119","Small Mesh",208,"Clam Shoal","Spring_2011",1,24.1,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0.693147180559945,66
"100","ClamShoal208",655751,"65575","Control",208,"Clam Shoal","Spring_2011",4,60.4,53.4,33.4,55.2,NA,4,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.6094379124341,67
"101","ClamShoal208",131194,"13119","Small Mesh",208,"Clam Shoal","Fall_2010",12,34.4,41.3,32.1,38.9,32.4,5,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,2.56494935746154,68
"102","ClamShoal208",829427,"82942","Large Mesh",208,"Clam Shoal","Spring_2011",5,48.7,43.1,29.9,37.9,38.4,5,1,0,0,0.2,1,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.79175946922805,69
"103","ClamShoal208",655755,"65575","Control",208,"Clam Shoal","Spring_2011",7,52,36.8,48.1,47.2,38.2,5,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,2.07944154167984,70
"104","ClamShoal208",655754,"65575","Control",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,71
"108","ClamShoal208",955856,"95585","Roof",208,"Clam Shoal","Fall_2010",3,29.5,16.1,17.5,NA,NA,3,3,2,2,1,3,0.666666666666667,2,0.666666666666667,2,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.38629436111989,72
"110","ClamShoal208",655752,"65575","Control",208,"Clam Shoal","Spring_2011",4,61.7,42.8,45.1,38.8,NA,4,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.6094379124341,73
"111","ClamShoal208",655754,"65575","Control",208,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,0,74
"112","ClamShoal208",131191,"13119","Small Mesh",208,"Clam Shoal","Fall_2010",8,36,24.9,40,23.9,34.4,5,2,2,0,0.4,3.2,0.4,3,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,2.19722457733622,75
"120","ClamShoal209",146692,"14669","Roof",209,"Clam Shoal","Spring_2011",5,32.7,26.1,42,35,29.5,5,2,0,0,0.4,2,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.79175946922805,76
"121","ClamShoal209",145562,"14556","Large Mesh",209,"Clam Shoal","Fall_2011",3,43.1,42.4,41.8,NA,NA,3,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,1.38629436111989,77
"122","ClamShoal209",146694,"14669","Roof",209,"Clam Shoal","Fall_2011",2,30.6,34.5,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,78
"123","ClamShoal209",145561,"14556","Large Mesh",209,"Clam Shoal","Fall_2011",1,16.4,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,79
"124","ClamShoal209",146695,"14669","Roof",209,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0,80
"125","ClamShoal209",145562,"14556","Large Mesh",209,"Clam Shoal","Spring_2011",4,35,45.5,39,40.2,NA,4,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.6094379124341,81
"126","ClamShoal209",145564,"14556","Large Mesh",209,"Clam Shoal","Fall_2010",12,33.2,22,19.8,23.6,18.3,5,4,4,2,0.8,9.6,0.8,10,0.4,4.8,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,2.56494935746154,82
"127","ClamShoal209",129141,"12914","Small Mesh",209,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,0,83
"128","ClamShoal209",145563,"14556","Large Mesh",209,"Clam Shoal","Spring_2011",1,34.5,33.3,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,0.693147180559945,84
"129","ClamShoal209",145566,"14556","Large Mesh",209,"Clam Shoal","Fall_2010",12,21.5,10.5,30.1,27.6,24.3,5,4,3,1,0.8,9.6,0.6,7,0.2,2.4,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,2.56494935746154,85
"130","ClamShoal209",124701,"12470","Open",209,"Clam Shoal","Spring_2011",3,25.1,41.8,33.3,NA,NA,3,1,0,0,0.333333333333333,1,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.38629436111989,86
"132","ClamShoal209",117885,"11788","Control",209,"Clam Shoal","Spring_2011",2,33.7,32.9,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,87
"133","ClamShoal209",124709,"12470","Open",209,"Clam Shoal","Spring_2011",7,36.4,28.6,20.3,15.3,15,5,4,3,2,0.8,5.6,0.6,4,0.4,2.8,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,2.07944154167984,88
"134","ClamShoal209",146693,"14669","Roof",209,"Clam Shoal","Fall_2011",1,14.9,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,89
"135","ClamShoal209",146694,"14669","Roof",209,"Clam Shoal","Spring_2011",2,31.7,33.9,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,90
"136","ClamShoal209",129141,"12914","Small Mesh",209,"Clam Shoal","Fall_2010",20,19.9,23.4,16.1,10.6,17.3,5,5,5,4,1,20,1,20,0.8,16,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,3.04452243772342,91
"137","ClamShoal209",145564,"14556","Large Mesh",209,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0,92
"138","ClamShoal209",117884,"11788","Control",209,"Clam Shoal","Spring_2011",2,25.3,22,NA,NA,NA,2,2,1,0,1,2,0.5,1,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,93
"139","ClamShoal209",129142,"12914","Small Mesh",209,"Clam Shoal","Spring_2011",2,33.5,34.5,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,94
"142","ClamShoal209",124709,"12470","Open",209,"Clam Shoal","Fall_2011",2,37.9,16.2,NA,NA,NA,2,1,1,1,0.5,1,0.5,1,0.5,1,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,95
"143","ClamShoal209",145561,"14556","Large Mesh",209,"Clam Shoal","Spring_2011",1,26.4,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,0.693147180559945,96
"144","ClamShoal209",145564,"14556","Large Mesh",209,"Clam Shoal","Spring_2011",5,44.6,36.9,38.8,29.3,34.4,5,1,0,0,0.2,1,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.79175946922805,97
"145","ClamShoal209",146694,"14669","Roof",209,"Clam Shoal","Fall_2010",16,22.4,23.5,21.1,19,18,5,5,5,2,1,16,1,16,0.4,6.4,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,2.83321334405622,98
"146","ClamShoal209",146691,"14669","Roof",209,"Clam Shoal","Fall_2010",4,34.5,18.6,11.4,16.3,NA,4,3,3,3,0.75,3,0.75,3,0.75,3,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,99
"147","ClamShoal209",117887,"11788","Control",209,"Clam Shoal","Fall_2011",1,27.7,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,100
"148","ClamShoal209",146692,"14669","Roof",209,"Clam Shoal","Fall_2011",1,27.3,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,101
"149","ClamShoal209",145561,"14556","Large Mesh",209,"Clam Shoal","Fall_2010",4,13.4,14,8.3,11.2,NA,4,4,4,4,1,4,1,4,1,4,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,1.6094379124341,102
"150","ClamShoal209",129147,"12914","Small Mesh",209,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Large","Late","New","Late dep",4,"High",21.16,"High",8.87,0,103
"151","ClamShoal209",124707,"12470","Open",209,"Clam Shoal","Spring_2011",3,15.1,36.3,21.8,NA,NA,3,2,2,1,0.666666666666667,2,0.666666666666667,2,0.333333333333333,1,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.38629436111989,104
"153","ClamShoal209",146693,"14669","Roof",209,"Clam Shoal","Spring_2011",2,44.9,41.9,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,105
"155","ClamShoal209",145568,"14556","Large Mesh",209,"Clam Shoal","Fall_2010",27,15.6,18.2,12.6,9.2,10.9,5,5,5,5,1,27,1,27,1,27,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,3.3322045101752,106
"156","ClamShoal209",145569,"14556","Large Mesh",209,"Clam Shoal","Fall_2010",21,25,16.9,14.6,11.6,15.1,5,5,5,4,1,21,1,21,0.8,16.8,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,3.09104245335832,107
"157","ClamShoal209",117881,"11788","Control",209,"Clam Shoal","Fall_2010",2,26.6,17.1,NA,NA,NA,2,2,1,1,1,2,0.5,1,0.5,1,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,108
"158","ClamShoal209",124704,"12470","Open",209,"Clam Shoal","Spring_2011",7,25.5,39.1,44,32.3,51.3,5,1,0,0,0.2,1.4,0,0,0,0,"Late Large","Late","New","Late dep",3,"High",21.16,"High",8.87,2.07944154167984,109
"159","ClamShoal209",129143,"12914","Small Mesh",209,"Clam Shoal","Fall_2010",7,16.7,13.6,11.6,10.1,13.8,5,5,5,5,1,7,1,7,1,7,"Late Large","Late","New","Late dep",2,"High",21.16,"High",8.87,2.07944154167984,110
