species,mm,g,claws,Size
Panopeus herbstii,27.8,8.01,2,large
Panopeus herbstii,31.5,8.26,1,large
Panopeus herbstii,12,0.532,1,Small
Panopeus herbstii,13.8,0.99,2,Small
Panopeus herbstii,17.5,2.02,2,Medium
Panopeus herbstii,23.2,5.13,2,Medium
Panopeus herbstii,17,1.94,1,Medium
Panopeus herbstii,23.9,5.41,2,Medium
Panopeus herbstii,19.7,3.93,2,Medium
Panopeus herbstii,19.6,2.69,1,Medium
Panopeus herbstii,18.1,2.09,1,Medium
Eurypanopeus depressus,16.4,1.73,2,Medium
,14.9,1.13,1,Small
Panopeus herbstii,14.6,1.3,2,Small
Panopeus herbstii,10.9,0.44,1,Small
Panopeus herbstii,10.5,0.45,2,Small
Panopeus herbstii,15,1.23,2,Small
Panopeus herbstii,23.2,4.78,2,Medium
Panopeus herbstii,22.9,4.83,2,Medium
Panopeus herbstii,38.2,21.46,2,large
Panopeus herbstii,47.3,38.26,2,large
Panopeus herbstii,36.1,,2,large
Panopeus herbstii,39.2,26.45,2,large
Panopeus herbstii,31.1,9.375,2,large
Panopeus herbstii,18.7,2.41,2,Medium
Panopeus herbstii,26.9,7.79,2,large
Panopeus herbstii,22.7,4.56,2,Medium
Panopeus herbstii,11.7,0.49,2,Small
Panopeus herbstii,14.3,2,2,Small
Panopeus herbstii,17.5,2.06,2,Medium
Panopeus herbstii,16.7,1.77,2,Medium
Panopeus herbstii,10.9,0.45,2,Small
Panopeus herbstii,16.6,1.86,2,Medium
Panopeus herbstii,26.4,4.89,2,large
Panopeus herbstii,17,1.81,2,Medium
Panopeus herbstii,22.5,4.01,2,Medium
Panopeus herbstii,11.3,0.61,2,Small
Panopeus herbstii,14.8,1.25,2,Small
Panopeus herbstii,26.3,6.41,2,large
Panopeus herbstii,35.8,18.12,2,large
Panopeus herbstii,36.2,18.85,2,large
Panopeus herbstii,22.8,3.78,2,Medium
Panopeus herbstii,13.8,1.34,2,Small
Panopeus herbstii,23.7,5.05,2,Medium
Panopeus herbstii,18.3,2.36,2,Medium
Panopeus herbstii,13.8,1.12,2,Small
Panopeus herbstii,15.4,1.2,2,Medium
Panopeus herbstii,17.2,2.17,2,Medium
Panopeus herbstii,20.4,3.02,2,Medium
Panopeus herbstii,15.1,1.63,2,Medium
Panopeus herbstii,14.6,1.11,2,Small
,20.2,4.33,1,Medium
Panopeus herbstii,14.3,0.99,2,Small
Panopeus herbstii,12.2,0.81,2,Small
,15.3,1.07,1,Medium
Panopeus herbstii,9.8,0.34,2,Small
,12.8,0.72,1,Small
Eurypanopeus depressus,12.4,0.53,1,Small
Panopeus herbstii,11.2,0.61,2,Small
Panopeus herbstii,10.8,0.53,2,Small
Panopeus herbstii,13.3,0.99,2,Small
Panopeus herbstii,14.1,0.98,2,Small
Panopeus herbstii,12.2,0.67,2,Small
Panopeus herbstii,9.5,0.31,2,Small
,11.9,0.63,1,Small
,13,0.62,1,Small
,12.8,0.78,1,Small
Eurypanopeus depressus,13.8,0.92,2,Small
Panopeus herbstii,10.8,0.53,2,Small
Panopeus herbstii,13.8,1.09,2,Small
Panopeus herbstii,14.3,1.07,2,Small
Eurypanopeus depressus,9.5,0.28,2,Small
Panopeus herbstii,13.7,1.06,2,Small
Panopeus herbstii,11.3,0.6,2,Small
Panopeus herbstii,15.5,1.4,2,Medium
Panopeus herbstii,14.1,1.04,2,Small
Eurypanopeus depressus,10.4,0.52,2,Small
Panopeus herbstii,12.4,0.6,2,Small
Panopeus herbstii,13.3,0.79,2,Small
Panopeus herbstii,16.2,1.85,2,Medium
Panopeus herbstii,11.3,0.54,2,Small
Panopeus herbstii,14.5,1.12,2,Small
Panopeus herbstii,15.1,1.5,2,Medium
Panopeus herbstii,16.6,1.7,2,Medium
Panopeus herbstii,11.8,0.68,2,Small
Panopeus herbstii,18,2.29,2,Medium
Panopeus herbstii,11.7,0.66,2,Small
Panopeus herbstii,7.6,0.16,2,Small
Panopeus herbstii,13.4,0.95,2,Small
Panopeus herbstii,17.7,2.4,2,Medium
Panopeus herbstii,15.6,1.44,2,Medium
Panopeus herbstii,7,0.16,2,Small
,14.4,0.98,1,Small
,12.7,0.7,1,Small
Panopeus herbstii,14.1,1.05,2,Small
Panopeus herbstii,13.4,0.92,2,Small
Panopeus herbstii,12.4,0.8,2,Small
Panopeus herbstii,8.4,0.29,2,Small
Panopeus herbstii,10.9,0.36,2,Small
Panopeus herbstii,16.8,1.81,1,Medium
Panopeus herbstii,16.4,1.66,2,Medium
Panopeus herbstii,24.9,4.84,2,Medium
Panopeus herbstii,20.9,3.65,2,Medium
Panopeus herbstii,22.4,4.11,2,Medium
Panopeus herbstii,17.8,2.31,2,Medium
Panopeus herbstii,17.8,2.79,2,Medium
Panopeus herbstii,15.3,1.33,2,Medium
Panopeus herbstii,21.4,3.39,1,Medium
Panopeus herbstii,18.8,2.99,2,Medium
Panopeus herbstii,23.4,5.06,2,Medium
Panopeus herbstii,16.2,2.1,2,Medium
Panopeus herbstii,15.9,1.65,2,Medium
Panopeus herbstii,24.8,6.09,2,Medium
Panopeus herbstii,20.4,2.62,1,Medium
Panopeus herbstii,39,27.21,2,large
Panopeus herbstii,15.2,1.46,2,Medium
Panopeus herbstii,25.3,5.35,2,large
Panopeus herbstii,20.1,3.18,2,Medium
Eurypanopeus depressus,16.2,1.19,2,Medium
Eurypanopeus depressus,14.1,0.93,2,Small
Panopeus herbstii,16.3,1.55,2,Medium
Panopeus herbstii,30,14.16,2,large
Panopeus herbstii,29.8,8.67,2,large
Panopeus herbstii,25.4,5.18,2,large
Panopeus herbstii,15.5,2.09,2,Medium
Panopeus herbstii,17.5,2.19,2,Medium
Panopeus herbstii,21.2,3.65,2,Medium
Panopeus herbstii,21.4,3.69,2,Medium
Eurypanopeus depressus,17.2,1.53,2,Medium
Panopeus herbstii,19.8,2.76,2,Medium
Panopeus herbstii,14.5,1.22,2,Small
Panopeus herbstii,16.1,1.36,2,Medium
Panopeus herbstii,21.1,4.39,2,Medium
,14.7,0.91,1,Small
Panopeus herbstii,12.1,0.64,2,Small
Panopeus herbstii,14.3,0.96,1,Small
Panopeus herbstii,19.2,2.56,2,Medium
,12.1,0.54,1,Small
Panopeus herbstii,18,1.98,1,Medium
Panopeus herbstii,19.9,3.37,2,Medium
Panopeus herbstii,14.4,1.14,2,Small
Panopeus herbstii,22,4.29,2,Medium
Panopeus herbstii,21.7,4.06,2,Medium
Panopeus herbstii,16.8,1.53,1,Medium
Eurypanopeus depressus,15.2,1.03,2,Medium
Panopeus herbstii,19,2.44,2,Medium
Panopeus herbstii,13.4,0.95,2,Small
Panopeus herbstii,14.8,1.39,2,Small
Panopeus herbstii,15,1.52,2,Small
Panopeus herbstii,16.3,1.63,2,Medium
Panopeus herbstii,10.7,0.45,2,Small
Panopeus herbstii,9.6,0.36,2,Small
Panopeus herbstii,13.8,1,2,Small
