Date,Year,Yearrep,Site,Mound,Replicate,Totalabund ,Sheepshead,Black_seabass,Bluefish,Pinfish,Pigfish,Spade,gag, Butterfly,Spottail_pinfish,Visibility ,SH size 1,SH size 2,SH size 3,BSB size,Gag size,pinfish size,Comments
8/19/2009,2009,2,South River,,2,0,0,0,0,0,0,0,0,0,0,40-60cm ,,,,,,,
8/19/2009,2009,2,South River,,1,2,1,0,0,1,0,0,0,0,0,1 m,15,,,,,8,
8/19/2009,2009,2,South River,,2,2,2,0,0,0,0,0,0,0,0,,35,15,,,,,
8/19/2009,2009,2,South River,,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/19/2009,2009,2,South River,,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/19/2009,2009,2,South River,,5,1,1,0,0,0,0,0,0,0,0,,15,,,,,,
8/19/2009,2009,2,South River,,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/25/2009,2009,2,West Bluff,1,1,0,0,0,0,0,0,0,0,0,0,"1 m,Very low vis!!",,,,,,,
8/25/2009,2009,2,West Bluff,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/25/2009,2009,2,West Bluff,2,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/25/2009,2009,2,West Bluff,2,4,0,0,0,0,0,0,0,0,0,0,2nd mound ,,,,,,,
8/24/2009,2009,2,Crab Hole,32,1,2,1,1,0,0,0,0,0,0,0,1 m,35,,,15,,,
8/24/2009,2009,2,Crab Hole,32,2,3,2,1,0,0,0,0,0,0,0,,35,25,,15,,,
8/24/2009,2009,2,Crab Hole,31,1,1,1,0,0,0,0,0,0,0,0,,35,,,,,,
8/24/2009,2009,2,Crab Hole,31,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/26/2009,2009,2,Ocracoke,3,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,
8/26/2009,2009,2,Ocracoke,3,2,3,1,2,0,0,0,0,0,0,0,,,,,,,,
8/26/2009,2009,2,Ocracoke,2,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,
8/26/2009,2009,2,Ocracoke,2,2,4,1,3,0,0,0,0,0,0,0,,20,,,,,,
8/26/2009,2009,2,Ocracoke,1,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,
8/26/2009,2009,2,Ocracoke,1,2,2,0,2,0,0,0,0,0,0,0,,,,,,,,
10-09-09,2009,3,South River,1,1,4,4,0,0,0,0,0,0,0,0,1 m,,,,,,,
10-09-09,2009,3,South River,1,2,3,3,0,0,0,0,0,0,0,0,,,,,,,,
10-09-09,2009,3,South River,1,3,2,2,0,0,0,0,0,1,0,0,,,,,,,,
10-09-09,2009,3,South River,2,1,2,2,0,0,0,0,0,0,0,0,,,,,,,,
10-09-09,2009,3,South River,2,2,5,5,0,0,0,0,0,0,0,0,,,,,,,,
10-09-09,2009,3,South River,2,3,2,2,0,0,0,0,0,0,0,0,,,,,,,,
10-09-09,2009,3,South River,3,1,3,3,0,0,0,0,0,0,0,0,,,,,,,,
10-09-09,2009,3,South River,3,2,2,2,0,0,0,0,0,1,0,0,,,,,,,,
10-09-09,2009,3,South River,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/27/2010,2010,2,Crab Hole,33,1,0,0,0,0,0,0,0,0,0,0,0.5,,,,,,,
7/27/2010,2010,2,Crab Hole,33,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/27/2010,2010,2,Crab Hole,33,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/27/2010,2010,2,Crab Hole,32,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/27/2010,2010,2,Crab Hole,32,2,1,1,0,0,0,0,0,0,0,0,,45,,,,,,
7/27/2010,2010,2,Crab Hole,32,3,1,1,0,0,0,0,0,0,0,0,,45,,,,,,
06-02-10,2010,1,South River,1,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
06-02-10,2010,1,South River,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,1,3,4,0,0,0,4,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,2,2,1,0,0,0,1,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,2,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,3,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-02-10,2010,1,South River,3,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,26,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,26,2,2.5,1,0,0,0,0,0,1.5,0,0,,20,,,,,,
06-08-10,2010,1,Ocracoke,26,3,1,1,0,0,0,0,0,0,0,0,,25,,,,,,
06-08-10,2010,1,Ocracoke,32,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,32,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,20,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,20,2,1,1,0,0,0,0,0,0,0,0,,20,,,,,,
06-08-10,2010,1,Ocracoke,20,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
06-08-10,2010,1,Ocracoke,61,1,1,1,0,0,0,0,0,0,0,0,,20,,,,,,
06-08-10,2010,1,Ocracoke,61,2,1,1,0,0,0,0,0,0,0,0,,25,,,,,,
06-08-10,2010,1,Ocracoke,61,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,32,1,0,0,0,0,0,0,0,0,0,0,1.5,,,,,,,
6/16/2010,2010,1,Clam Shoal,32,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,Lots of small Pinfish
6/16/2010,2010,1,Clam Shoal,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,33,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,33,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,33,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,231,1,4,4,0,0,0,0,0,0,0,0,,20,25,23,,,,
6/16/2010,2010,1,Clam Shoal,231,2,4,4,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,231,3,3,3,0,0,0,0,0,0,0,0,,,,,,,,
6/16/2010,2010,1,Clam Shoal,213,1,2,2,0,0,0,0,0,0,0,0,,20,15,,,,,
6/16/2010,2010,1,Clam Shoal,213,2,1,1,0,0,0,0,0,0,0,0,,20,,,,,,
6/16/2010,2010,1,Clam Shoal,213,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/17/2010,2010,1,Crab Hole,218,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/17/2010,2010,1,Crab Hole,218,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/17/2010,2010,1,Crab Hole,218,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/17/2010,2010,1,Crab Hole,195,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/17/2010,2010,1,Crab Hole,195,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6/17/2010,2010,1,Crab Hole,195,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/20/2010,2010,2,South River,30,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,Lots Pinfish
7/20/2010,2010,2,South River,30,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,Lots Pinfish
7/20/2010,2010,2,South River,30,3,1,1,0,0,0,0,0,0,0,0,,30,,,,,,Lots Pinfish
7/20/2010,2010,2,South River,32,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,Lots Pinfish
7/20/2010,2010,2,South River,32,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,Lots Pinfish
7/20/2010,2010,2,South River,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,Lots Pinfish
7/20/2010,2010,2,South River,26,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/20/2010,2010,2,South River,26,2,1,1,0,0,0,0,0,0,0,0,,15,,,,,,
7/20/2010,2010,2,South River,26,3,1,1,0,0,0,0,0,0,0,0,,20,,,,,,
7/27/2010,2010,2,Ocracoke,20,1,1,1,0,0,0,0,0,0,0,0,1,30,,,,,,
7/27/2010,2010,2,Ocracoke,20,2,2,2,0,0,0,0,0,0,0,0,1,30,40,,,,,
7/27/2010,2010,2,Ocracoke,20,3,1,1,0,0,0,0,0,0,0,0,1,40,,,,,,
7/27/2010,2010,2,Ocracoke,26,1,1,0,0,0,0,0,0,1,0,0,1,,,,,25,,
7/27/2010,2010,2,Ocracoke,26,2,1,0,0,0,0,0,0,0,1,0,1,,,,,,,
7/27/2010,2010,2,Ocracoke,26,3,1,1,0,0,0,0,0,0,0,0,1,40,,,,,,
7/27/2010,2010,2,Ocracoke,32,1,2,2,0,0,0,0,0,0,0,0,1,15,20,,,,,
7/27/2010,2010,2,Ocracoke,32,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
7/27/2010,2010,2,Ocracoke,32,3,2,2,0,0,0,0,0,0,0,0,1,20,25,,,,,
7/29/2010,2010,2,Clam Shoal,33,1,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
7/29/2010,2010,2,Clam Shoal,33,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,1 pinf
7/29/2010,2010,2,Clam Shoal,33,3,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
7/29/2010,2010,2,Clam Shoal,32,1,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
7/29/2010,2010,2,Clam Shoal,32,2,1,1,0,0,0,0,0,0,0,0,2,30,,,,,,
7/29/2010,2010,2,Clam Shoal,32,3,1,0,0,0,0,1,0,0,0,0,2,,,,,,,
9/14/2010,2010,3,Crab Hole,193,1,1,1,0,0,0,0,0,0,0,0,1,30,,,,,,
9/14/2010,2010,3,Crab Hole,193,2,1,1,0,0,0,0,0,0,0,0,1,10,,,,,,
9/14/2010,2010,3,Crab Hole,193,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/14/2010,2010,3,Crab Hole,194,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/14/2010,2010,3,Crab Hole,194,2,1,3,0,0,0,0,0,0,0,0,1,26,35,40,,,,
9/14/2010,2010,3,Crab Hole,194,3,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/14/2010,2010,3,Crab Hole,197,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/14/2010,2010,3,Crab Hole,197,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/14/2010,2010,3,Crab Hole,197,3,1,0,0,0,0,0,1,0,0,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,20,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,20,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,20,3,1,1,0,0,0,0,0,0,0,0,1,30,,,,,,
9/16/2010,2010,3,Ocracoke,32,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,32,2,2,2,0,0,0,0,0,0,0,0,1,40,20,,,,,
9/16/2010,2010,3,Ocracoke,32,3,4,1,1,0,0,0,0,0,2,0,1,30,,,20,,,
9/16/2010,2010,3,Ocracoke,26,1,1,0,0,0,0,0,0,0,1,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,26,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,26,3,3,1,1,0,0,0,0,0,1,0,1,30,,,15,,,
9/16/2010,2010,3,Ocracoke,47,1,2,1,1,0,0,0,0,0,0,0,1,20,,,,,,
9/16/2010,2010,3,Ocracoke,47,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/16/2010,2010,3,Ocracoke,47,3,2,1,1,0,0,0,0,0,0,0,1,40,,,20,,,
9/16/2010,2010,3,Ocracoke,62,1,4,2,0,0,0,0,0,0,2,0,1,15,20,,,,,
9/16/2010,2010,3,Ocracoke,62,2,2,2,0,0,0,0,0,0,0,0,1,25,30,,,,,
9/20/2010,2010,3,West Bluff,26,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,26,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,26,3,1,0,0,0,0,1,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,32,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,32,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,32,3,1,0,0,0,0,1,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,30,1,1,0,0,0,0,0,0,1,0,0,1,,,,,20,,
9/20/2010,2010,3,West Bluff,30,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
9/20/2010,2010,3,West Bluff,30,3,2,2,0,0,0,0,0,0,0,0,1,15,35,,,,,
10-06-10,2010,3,Gibbs Shoal,5,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-06-10,2010,3,Gibbs Shoal,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-06-10,2010,3,Gibbs Shoal,5,3,1,0,1,0,0,0,0,0,0,0,,,,,10,,,
9/21/2010,2010,3,South River,30,1,1,1,0,0,0,0,0,0,0,0,,35,,,,,,
9/22/2010,2010,3,South River,30,2,1,1,0,0,0,0,0,0,0,0,,56,,,,,,
9/23/2010,2010,3,South River,30,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9/24/2010,2010,3,South River,32,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9/25/2010,2010,3,South River,32,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9/26/2010,2010,3,South River,32,3,3,3,0,0,0,0,0,0,0,0,,25,35,15,,,,
9/27/2010,2010,3,South River,26,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9/28/2010,2010,3,South River,26,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9/29/2010,2010,3,South River,26,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,33,1,3,0,0,0,0,0,0,0,0,3,,,,,,,,
10-08-10,2010,3,Clam Shoal,33,2,2,1,0,0,0,0,0,0,0,1,,25,,,,,,
10-08-10,2010,3,Clam Shoal,33,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,32,1,2,0,0,0,0,0,0,0,0,2,,,,,,,,
10-08-10,2010,3,Clam Shoal,32,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,213,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,213,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,213,3,3,3,0,0,0,0,0,0,0,0,,40,30,40,,,,
10-08-10,2010,3,Clam Shoal,231,1,1,0,0,0,0,0,0,1,0,0,,,,,,25,,
10-08-10,2010,3,Clam Shoal,231,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,231,3,1,1,0,0,0,0,0,0,0,0,,43,,,,,,
10-08-10,2010,3,Clam Shoal,211,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,211,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,211,3,1,1,0,0,0,0,0,0,0,0,,45,,,,,,
10-08-10,2010,3,Clam Shoal,230,1,1,1,0,0,0,0,0,0,0,0,,5,,,,,,
10-08-10,2010,3,Clam Shoal,230,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,230,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,210,1,1,1,0,0,0,0,0,0,0,0,,5,,,,,,
10-08-10,2010,3,Clam Shoal,210,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,210,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,229,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,229,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-08-10,2010,3,Clam Shoal,229,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-09-10,2010,3,Clam Shoal,209,1,1,1,0,0,0,0,0,0,0,0,,30,,,,,,
10-09-10,2010,3,Clam Shoal,209,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-09-10,2010,3,Clam Shoal,209,3,1,1,0,0,0,0,0,0,0,0,,45,,,,,,
10-09-10,2010,3,Clam Shoal,228,1,2,2,0,0,0,0,0,0,0,0,,7,9,,,,,
10-09-10,2010,3,Clam Shoal,228,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-09-10,2010,3,Clam Shoal,228,3,1,1,0,0,0,0,0,0,0,0,,8,,,,,,
10-09-10,2010,3,Clam Shoal,227,1,1,1,0,0,0,0,0,0,0,0,,8,,,,,,
10-09-10,2010,3,Clam Shoal,227,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-09-10,2010,3,Clam Shoal,227,3,1,1,0,0,0,0,0,0,0,0,,7,,,,,,
10-09-10,2010,3,Clam Shoal,208,1,1,1,0,0,0,0,0,0,0,0,,7,,,,,,
10-09-10,2010,3,Clam Shoal,208,2,2,2,0,0,0,0,0,0,0,0,,7,5,,,,,
10-09-10,2010,3,Clam Shoal,208,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-12-10,2010,3,Crab Hole,193,1,0,0,0,0,0,0,0,0,0,0,,35,10,,,,,
10-12-10,2010,3,Crab Hole,193,2,0,0,0,0,0,0,0,0,0,0,,45,35,10,,,,
10-12-10,2010,3,Crab Hole,193,3,0,0,0,0,0,0,0,0,0,0,,45,35,10,,,,
10-12-10,2010,3,Crab Hole,194,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-12-10,2010,3,Crab Hole,194,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10-12-10,2010,3,Crab Hole,194,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
09-09-11,2011,3,Crab Hole,32,1,4,4,0,0,0,0,0,0,0,0,,,,,,,,
09-09-11,2011,3,Crab Hole,32,2,2,1,0,0,1,0,0,0,0,0,,,,,,,,
09-09-11,2011,3,Crab Hole,32,3,2,2,0,0,0,0,0,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,9,1,2,1,0,0,0,0,1,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,9,2,1,1,0,0,0,0,0,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,9,3,3,0,0,0,0,0,3,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,5,1,4,0,1,0,0,0,2,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,19,1,1,0,3,0,0,0,0,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,22,1,1,0,0,0,0,0,1,0,0,0,,,,,,,,
9/13/2011,2011,3,Gibbs Shoal,21,1,3,2,0,0,0,0,0,0,0,1,,25,25,,,,,
9/13/2011,2011,3,Gibbs Shoal,21,2,3,3,0,0,0,0,0,0,0,0,,25,25,25,,,,
9/13/2011,2011,3,Gibbs Shoal,21,3,1,1,0,0,0,0,0,0,0,0,,30,,,,,,
