ID,Site ,Gear,Season,Date ,Year,rep,Species,T. Length ,Weight,S. Length (cm),Stomach,Comments
1051,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Pinfish,164,73.6,,Y,
1052,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Spot,80,6,,N,
1053,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Silver Perch,186,89.4,,Y,
1054,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Bluefish,273,192.6,,Y,
1055,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Bluefish,240,133.5,,Y,
1056,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,217,101.4,,N,
1057,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,199,78.8,,N,
1058,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,207,82.2,,N,
1059,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,217,99.5,,N,
1060,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,199,70.6,,N,
1061,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,197,66.2,,N,
1062,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,196,80.4,,N,
1063,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,195,66.4,,N,
1064,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,189,68.9,,N,
1065,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,201,72.5,,N,
1066,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,,80.9,,N,33 more
1072,West Bluff,Net,Late Summer,8/26/2009,2009,3,Spot,261,231.6,,Y,
1073,West Bluff,Net,Late Summer,8/26/2009,2009,3,Toadfish,260,173.4,,Y,
1074,West Bluff,Net,Late Summer,8/26/2009,2009,3,Threadfin herring,165,47.3,,N,
1075,West Bluff,Net,Late Summer,8/26/2009,2009,3,Threadfin herring,193,80.3,,N,
1076,West Bluff,Net,Late Summer,8/26/2009,2009,3,Spadefish,98,38.3,,N,
1077,West Bluff,Net,Late Summer,8/26/2009,2009,3,Spadefish,147,128.7,,Y,
1078,West Bluff,Net,Late Summer,8/26/2009,2009,3,Spadefish,262,565.9,,Y,
1079,West Bluff,Net,Late Summer,8/26/2009,2009,3,Atlantic Menhaden,218,104.2,,N,
1080,West Bluff,Net,Late Summer,8/26/2009,2009,3,Atlantic Menhaden,290,308.6,,N,
1081,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Speckled trout,342,346.3,,Y,
1082,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Croaker,260,257.8,,Y,
1083,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Croaker,185,74.3,,Y,
1084,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Croaker,171,58.1,,Y,
1085,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,161,66.3,,Y,
1086,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,167,70.7,,Y,
1087,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,169,74.2,,Y,
1088,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,146,47.6,,Y,
1089,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,151,52.3,,Y,
1090,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,155,57.1,,Y,
1091,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,166,71.2,,Y,
1092,Ocracoke,Net,Late Summer,8/27/2009,2009,1,Pinfish,145,56.1,,Y,
1093,Middle Bay,Net,Fall,10/5/2009,2009,3,Stripped mullet,360,502.3,,N,
1094,Middle Bay,Net,Fall,10/5/2009,2009,3,Black drum,224,184.5,,Y,
1095,Middle Bay,Net,Fall,10/5/2009,2009,3,Spot,187,94.8,,Y,
1096,Middle Bay,Net,Fall,10/5/2009,2009,3,Atlantic Menhaden,211,115.4,,Y,
1097,Middle Bay,Net,Fall,10/5/2009,2009,3,Croaker,176,64.1,,Y,
1098,West Bluff,Net,Late Summer,8/26/2009,2009,1,Spanish mackeral,514,675.2,,N,
1099,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,180,83.6,,Y,
1100,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,165,66.2,,Y,
1101,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,175,80,,Y,
1102,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,182,83.3,,Y,
1103,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,173,68.9,,Y,
1104,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,100,12.6,,N,
1105,West Bluff,Net,Late Summer,8/26/2009,2009,1,Croaker,95,11.1,,N,
1106,West Bluff,Net,Fall,10/20/2009,2009,3,Speckled trout,340,285.2,,Y,
1107,West Bluff,Net,Fall,10/20/2009,2009,3,Croaker,183,82.7,,Y,
1108,West Bluff,Net,Fall,10/20/2009,2009,3,Croaker,200,94.3,,Y,
1109,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,164,63.5,,Y,
1110,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,183,74,,Y,
1111,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,175,73.3,,Y,
1112,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,177,76,,Y,
1113,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,171,62.8,,Y,
1114,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,193,100.4,,Y,
1115,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,175,71.3,,Y,
1116,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,149,48,,Y,
1117,West Bluff,Net,Fall,10/20/2009,2009,3,Spot,145,41.5,,Y,
1118,West Bluff,Net,Fall,10/20/2009,2009,3,Butterfish,195,108.2,,n,
1119,West Bluff,Net,Fall,10/20/2009,2009,3,Pigfish,151,50.1,,Y,
1120,West Bluff,Net,Fall,10/20/2009,2009,3,Butterfish,202,141.2,,n,
1121,West Bluff,Net,Fall,10/20/2009,2009,3,Butterfish,185,100.6,,n,
1122,West Bluff,Net,Fall,10/20/2009,2009,3,Atlantic Menhaden,184,67,,n,
1123,West Bluff,Net,Fall,10/20/2009,2009,3,Atlantic Menhaden,220,128.3,,n,
1124,Ocracoke,Net,Late Summer,8/27/2009,2009,2,Pinfish,135,42.2,,Y,
1125,Ocracoke,Net,Late Summer,8/27/2009,2009,2,Pinfish,137,44.7,,Y,
1126,Ocracoke,Net,Late Summer,8/27/2009,2009,2,Croaker,220,138.8,,Y,
1127,Ocracoke,Net,Late Summer,8/27/2009,2009,2,spot,212,125.7,,Y,
1128,Ocracoke,Net,Late Summer,8/27/2009,2009,2,spot,182,81.3,,Y,
1129,Ocracoke,Net,Late Summer,8/27/2009,2009,2,Black_seabass,192,138,,Y,
1130,West Bluff,Net,Late Summer,8/26/2009,2009,2,Pigfish,208,129.9,,Y,
1131,West Bluff,Net,Late Summer,8/26/2009,2009,2,croaker,220,127.9,,Y,
1132,West Bluff,Net,Late Summer,8/26/2009,2009,2,Croaker,114,122.4,,Y,
1133,West Bluff,Net,Late Summer,8/26/2009,2009,2,Threadfin herring,186,69.2,,n,
1134,West Bluff,Net,Late Summer,8/26/2009,2009,2,Threadfin herring,165,47.8,,n,
1135,West Bluff,Net,Late Summer,8/26/2009,2009,2,Threadfin herring,174,53.8,,n,
1136,West Bluff,Net,Late Summer,8/26/2009,2009,2,Threadfin herring,178,57,,n,
1137,West Bay,Net,Late Summer,8/18/2009,2009,2,spot,97,10,,Y,
1138,West Bay,Net,Late Summer,8/18/2009,2009,2,spot,201,102.6,,Y,
1139,West Bay,Net,Late Summer,8/18/2009,2009,2,spot,91,8.3,,n,
1140,West Bay,Net,Late Summer,8/18/2009,2009,2,spot,92,8.4,,Y,
1141,West Bay,Net,Late Summer,8/18/2009,2009,2,Croaker,203,97.6,,Y,
1142,West Bay,Net,Late Summer,8/18/2009,2009,2,Croaker,190,77.6,,Y,
1143,West Bay,Net,Late Summer,8/18/2009,2009,2,Spanish mackeral,459,556.5,,Y,
1144,West Bay,Net,Late Summer,8/18/2009,2009,2,Atlantic Menhaden,272,205.3,,n,
1145,West Bay,Net,Late Summer,8/18/2009,2009,2,Atlantic Menhaden,210,97.8,,n,
1146,West Bay,Net,Late Summer,8/18/2009,2009,2,Bluefish,293,260.5,,Y,
1147,West Bay,Net,Late Summer,8/18/2009,2009,2,Bluefish,320,336.4,,Y,
1148,South River,Net,Late Summer,8/19/2009,2009,2,Spanish mackeral,455,548.4,,Y,
1149,South River,Net,Late Summer,8/19/2009,2009,2,Sea Robin,186,81.1,,Y,
1150,South River,Net,Late Summer,8/19/2009,2009,2,Speckled trout,392,548.4,,Y,
1151,South River,Net,Late Summer,8/19/2009,2009,2,Kingfish,276,178.2,,Y,
1152,South River,Net,Late Summer,8/19/2009,2009,2,Kingfish,256,172.5,,Y,
1153,South River,Net,Late Summer,8/19/2009,2009,2,Lizardfish,195,39.4,,n,
1154,South River,Net,Late Summer,8/19/2009,2009,2,Atlantic Menhaden,250,166.8,,n,
1155,South River,Net,Late Summer,8/19/2009,2009,2,Atlantic Menhaden,250,142.1,,n,
1156,South River,Net,Late Summer,8/19/2009,2009,2,Atlantic Menhaden,253,150,,n,
1157,South River,Net,Late Summer,8/19/2009,2009,2,Bluefish,195,68.3,,Y,
1158,South River,Net,Late Summer,8/19/2009,2009,2,Croaker,197,83.5,,Y,
1159,South River,Net,Late Summer,8/19/2009,2009,2,Croaker,271,269,,Y,
1160,South River,Net,Late Summer,8/19/2009,2009,2,Spot,91,8.3,,n,
1161,South River,Net,Late Summer,8/19/2009,2009,2,Spot,172,64.3,,Y,
1162,South River,Net,Late Summer,8/19/2009,2009,2,Spot,183,70.7,,Y,
1163,South River,Net,Late Summer,8/19/2009,2009,2,Spot,155,39.9,,Y,
1164,South River,Net,Late Summer,8/19/2009,2009,2,Spot,252,223,,Y,
1165,South River,Net,Late Summer,8/19/2009,2009,2,Spot,97,9.7,,n,
1166,South River,Net,Late Summer,8/19/2009,2009,2,Spot,93,7.8,,n,
1167,South River,Net,Late Summer,8/19/2009,2009,2,Spot,86,6.9,,n,
1168,South River,Net,Late Summer,8/19/2009,2009,2,Pinfish,171,69.8,,Y,
1169,South River,Net,Late Summer,8/19/2009,2009,2,Pinfish,151,48,,Y,
1170,South River,Net,Late Summer,8/19/2009,2009,2,Pinfish,161,62.6,,Y,
1171,West Bay,Net,Late Summer,8/18/2009,2009,3,Threadfin herring,86,5,,n,
1172,West Bay,Net,Late Summer,8/18/2009,2009,3,Pinfish,142,38.7,,y,
1173,West Bay,Net,Late Summer,8/18/2009,2009,3,Spanish mackeral,261,108,,Y,
1174,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,191,62.1,,n,
1175,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,208,89.9,,n,
1176,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,190,70.9,,n,
1177,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,200,76.8,,n,
1178,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,185,64.5,,n,
1179,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,192,68.8,,n,
1180,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,190,68.1,,n,
1181,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,204,86.2,,n,
1182,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,202,81.9,,n,
1183,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,206,84.4,,n,
1184,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,199,84.9,,n,
1185,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,211,96.3,,n,
1186,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,201,81.6,,n,
1187,West Bay,Net,Late Summer,8/18/2009,2009,3,Atlantic Menhaden,194,73.2,,n,
1189,West Bay,Net,Late Summer,8/18/2009,2009,1,Bluefish,239,135.6,,Y,
1190,West Bay,Net,Late Summer,8/18/2009,2009,1,Spot,212,129.7,,Y,
1191,West Bay,Net,Late Summer,8/18/2009,2009,1,Spot,94,9.6,,n,
1192,West Bay,Net,Late Summer,8/18/2009,2009,1,Spot,95,9.1,,n,
1193,West Bay,Net,Late Summer,8/18/2009,2009,1,Pinfish,146,47.7,,Y,
1194,West Bay,Net,Late Summer,8/18/2009,2009,1,Croaker,204,92.4,,Y,
1195,West Bay,Net,Late Summer,8/18/2009,2009,1,Croaker,196,91.9,,Y,
1196,West Bay,Net,Late Summer,8/18/2009,2009,1,Croaker,156,38.3,,Y,
1197,West Bay,Net,Late Summer,8/18/2009,2009,1,Speckled trout,290,240.6,,Y,
1198,West Bay,Net,Late Summer,8/18/2009,2009,1,Atlantic Menhaden,242,149.9,,n,
1199,West Bay,Net,Late Summer,8/18/2009,2009,1,Atlantic Menhaden,250,162.7,,n,
1200,West Bay,Net,Late Summer,8/18/2009,2009,1,Atlantic Menhaden,223,109.5,,n,
1201,West Bay,Net,Late Summer,8/18/2009,2009,1,Atlantic Menhaden,194,69.5,,n,
1202,West Bay,Net,Late Summer,8/18/2009,2009,1,Atlantic Menhaden,293,292.5,,n,
1203,South River,Net,Late Summer,8/19/2009,2009,1,Sheepshead,181,115.8,,Y,
1204,South River,Net,Late Summer,8/19/2009,2009,1,Speckled trout,255,185.5,,Y,
1205,South River,Net,Late Summer,8/19/2009,2009,1,Bluefish,247,150.9,,Y,
1206,South River,Net,Late Summer,8/19/2009,2009,1,Pinfish,155,51.8,,Y,
1207,South River,Net,Late Summer,8/19/2009,2009,1,Pinfish,154,52.4,,Y,
1208,South River,Net,Late Summer,8/19/2009,2009,1,Pinfish,162,64.3,,Y,
1209,South River,Net,Late Summer,8/19/2009,2009,1,Pinfish,175,7.6,,Y,
1210,South River,Net,Late Summer,8/19/2009,2009,1,Pinfish,151,53,,Y,
1211,South River,Net,Late Summer,8/19/2009,2009,1,Pinfish,149,50.3,,Y,
1212,South River,Net,Late Summer,8/19/2009,2009,1,Spot,190,90.2,,Y,
1213,South River,Net,Late Summer,8/19/2009,2009,1,Spot,194,100.9,,Y,
1214,South River,Net,Late Summer,8/19/2009,2009,1,Spot,196,100.8,,Y,
1215,South River,Net,Late Summer,8/19/2009,2009,1,Spot,171,62.8,,Y,
1216,South River,Net,Late Summer,8/19/2009,2009,1,Spot,165,51.8,,Y,
1217,South River,Net,Late Summer,8/19/2009,2009,1,Spot,190,89.5,,Y,
1218,South River,Net,Late Summer,8/19/2009,2009,1,Spot,170,59.1,,Y,
1219,South River,Net,Late Summer,8/19/2009,2009,1,Spot,194,99.9,,Y,
1220,South River,Net,Late Summer,8/19/2009,2009,1,Spot,176,69,,Y,
1221,South River,Net,Late Summer,8/19/2009,2009,1,Croaker,173,53.2,,Y,
1222,South River,Net,Late Summer,8/19/2009,2009,1,Kingfish,264,192.6,,Y,
1223,South River,Net,Late Summer,8/19/2009,2009,1,Atlantic Menhaden,252,177.6,,n,
1224,South River,Net,Late Summer,8/19/2009,2009,1,Atlantic Menhaden,227,119.8,,n,
1225,South River,Net,Late Summer,8/19/2009,2009,1,Atlantic Menhaden,236,142.1,,n,
1226,South River,Net,Late Summer,8/19/2009,2009,1,Atlantic Menhaden,176,158.6,,n,
1227,South River,Net,Late Summer,8/19/2009,2009,3,Threadfin herring,198,75.5,,n,
1228,South River,Net,Late Summer,8/19/2009,2009,3,Bluefish,239,131.4,,n,
1229,South River,Net,Late Summer,8/19/2009,2009,3,Pigfish,149,46.3,,Y,
1230,South River,Net,Late Summer,8/19/2009,2009,3,Sheepshead,176,11.9,,Y,
1231,South River,Net,Late Summer,8/19/2009,2009,3,Spot,165,58.5,,Y,
1232,South River,Net,Late Summer,8/19/2009,2009,3,Spot,165,51.6,,Y,
1233,South River,Net,Late Summer,8/19/2009,2009,3,Spot,167,57.6,,Y,
1234,South River,Net,Late Summer,8/19/2009,2009,3,Spot,164,47.9,,Y,
1235,South River,Net,Late Summer,8/19/2009,2009,3,Spot,177,75.9,,Y,
1236,South River,Net,Late Summer,8/19/2009,2009,3,Spot,179,81,,Y,
1237,South River,Net,Late Summer,8/19/2009,2009,3,Spot,188,85.2,,Y,
1238,South River,Net,Late Summer,8/19/2009,2009,3,Spot,181,70.4,,Y,
1239,South River,Net,Late Summer,8/19/2009,2009,3,Croaker,245,199.9,,Y,
1240,South River,Net,Late Summer,8/19/2009,2009,3,Spot,97,7.4,,n,
1241,South River,Net,Late Summer,8/19/2009,2009,3,Spot,85,6.6,,n,
1242,South River,Net,Late Summer,8/19/2009,2009,3,Spot,89,7.6,,n,
1243,South River,Net,Late Summer,8/19/2009,2009,3,Spot,86,6.7,,n,
1244,South River,Net,Late Summer,8/19/2009,2009,3,Spot,89,8.6,,n,no tail
1245,South River,Net,Late Summer,8/19/2009,2009,3,Spot,78,8,,n,
1246,South River,Net,Late Summer,8/19/2009,2009,3,Spot,91,7.4,,n,
1247,South River,Net,Late Summer,8/19/2009,2009,3,Spot,94,9.2,,n,
1248,South River,Net,Late Summer,8/19/2009,2009,3,Spot,91,8.1,,n,
1249,South River,Net,Late Summer,8/19/2009,2009,3,Spot,95,9.1,,n,
1250,South River,Net,Late Summer,8/19/2009,2009,3,Spot,91,8.1,,n,
1251,South River,Net,Late Summer,8/19/2009,2009,3,Spot,90,7.9,,n,
1252,South River,Net,Late Summer,8/19/2009,2009,3,Spot,85,6.6,,n,
1253,South River,Net,Late Summer,8/19/2009,2009,3,Spot,96,9.7,,n,
1254,South River,Net,Late Summer,8/19/2009,2009,3,Pinfish,175,81.7,,Y,
1255,South River,Net,Late Summer,8/19/2009,2009,3,Atlantic Menhaden,243,140.3,,n,
1256,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Stingray,369,2616,,Y,
1257,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Speckled trout,306,296,,Y,
1258,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Croaker,219,126.5,,Y,
1259,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Croaker,197,93.2,,Y,
1260,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Silver Perch,95,9.6,,n,
1261,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Silver Perch,97,10.9,,n,
1262,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Pinfish,172,72.5,,Y,
1263,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Spot,209,112.5,,Y,
1264,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Spot,89,7.6,,n,
1265,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Spot,95,7.6,,n,head partially detach
1266,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Spot,87,7.2,,n,
1267,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,173,48.6,,n,
1268,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,187,63.9,,n,
1269,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,175,57.5,,n,
1270,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,196,69.3,,n,
1271,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,185,64.6,,n,
1272,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,184,51.1,,n,bit out of dorsal
1273,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,194,65.1,,n,
1274,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,180,53.6,,n,
1275,Middle Bay,Net,Late Summer,8/17/2009,2009,1,Atlantic Menhaden,182,61.4,,n,
1276,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Speckled trout,265,183.7,,Y,
1277,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Speckled trout,302,273.6,,Y,
1278,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Speckled trout,230,117.6,,Y,
1279,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Croaker,198,93,,Y,
1280,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Croaker,271,260.5,,Y,
1281,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Spot,200,11.8,,Y,
1282,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Croaker,142,28,,n,
1283,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Pinfish,160,58.8,,Y,
1284,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Pinfish,165,65.4,,Y,
1285,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,180,60,,n,
1286,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,190,74.9,,n,
1287,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,174,48.3,,n,
1288,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,180,53.3,,n,
1289,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,166,41.3,,n,
1290,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,180,54.3,,n,
1291,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,169,48.3,,n,
1292,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,188,62.5,,n,
1293,Middle Bay,Net,Late Summer,8/17/2009,2009,3,Atlantic Menhaden,191,55.6,,n,
